Name,Title,Source,Published At,Link,Sentiment,Activity,Description,Unnamed: 0,Scheme/Initiative,Description.1,Unnamed: 2,Name ,Initiative,No.
Narendra Modi,Narendra Modi faces a new threat: his Hindu nationalist patrons,"{'name': 'The Economist', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.economist.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","08/28/2024, 02:54 PM, +0000 UTC",https://www.economist.com/asia/2024/08/28/narendra-modi-faces-a-new-threat-his-hindu-nationalist-patrons,positive,"Central Universities (Amendment) Act, 2021",Amended laws governing central universities.,0.0,Swachh Bharat Mission,A nationwide cleanliness campaign aimed at improving sanitation and hygiene.,,,,
Narendra Modi,"After Biden, Putin dials PM Modi who seeks early end to conflict","{'name': 'The Times of India', 'icon': 'https://lh3.googleusercontent.com/d9mz-OKghOQPsgxRv1BQzQAI44ifiA_6aAk-gRwo4_32mZXM-TSd5vIY1rL1P2LUH9mFQPnUSRE', 'authors': ['Sachin Parashar']}","08/27/2024, 10:54 PM, +0000 UTC",https://timesofindia.indiatimes.com/india/day-after-biden-putin-dials-pm-modi-over-kyiv-trip/articleshow/112848825.cms,positive,"Commission for Air Quality Management in NCR Act, 2021",Established a body for air quality management in the NCR.,,,,,,,
Narendra Modi,Narendra Modi is becoming an expert in policy U-turns,"{'name': 'Financial Times', 'icon': 'https://lh3.googleusercontent.com/281oPpXmEcGU9cV4N2LudyLEG2aBqbqG2iDoMoXUXKl-SWD4AUdO5652KVTGNmcduSWZB_7j'}","08/26/2024, 12:00 AM, +0000 UTC",https://www.ft.com/content/f4caa4d3-2618-48e2-b1c2-890a08362ac9,positive,"Marine Aids To Navigation Act, 2021",Updated regulations for marine navigation aids.,,,,,,,
Narendra Modi,India's Modi urges early resolution of Ukraine conflict in call with Russia's Putin,"{'name': 'Reuters', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Gleb Stolyarov', 'Tomasz Janowski', 'Lucy Papachristou']}","08/27/2024, 12:36 PM, +0000 UTC",https://www.reuters.com/world/putin-spoke-with-indias-modi-kremlin-says-2024-08-27/,neutral,"Farmers' Produce Trade and Commerce Act, 2020",Aimed at creating an ecosystem for selling agricultural produce outside state-regulated markets.,,,,,,,
Narendra Modi,Modi tells Putin he supports early end to Ukraine war,"{'name': 'VOA Asia', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.voanews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Anjana Pasricha']}","08/27/2024, 02:26 PM, +0000 UTC",https://www.voanews.com/a/modi-tells-putin-he-supports-early-end-to-ukraine-war/7758750.html,positive,"Citizenship (Amendment) Act, 2019",Provided a pathway to Indian citizenship for non-Muslim immigrants from neighboring countries.,,,,,,,
Narendra Modi,"India open to 'unprecedented' cooperation with US because of Chinese aggression, says ex-NSA McMaster","{'name': 'Deccan Herald', 'icon': 'https://lh3.googleusercontent.com/vx6XRVNJWUlNOJ3yf1IzadkFok5xsOVLj6KyxSazaJpeS3nMoRdtRNuZAQZh_2zBWfdBl08EpA'}","08/29/2024, 01:03 AM, +0000 UTC",https://www.deccanherald.com/india/india-open-to-unprecedented-cooperation-with-us-because-of-chinese-aggression-says-ex-nsa-mcmaster-3168455,positive,"Jammu and Kashmir Reorganisation Act, 2019",Reorganized the state of Jammu and Kashmir into two Union Territories.,,,,,,,
Narendra Modi,Indian PM Modi Tells Putin He Supports End to Ukraine War,"{'name': 'The Moscow Times', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.themoscowtimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","08/27/2024, 12:05 PM, +0000 UTC",https://www.themoscowtimes.com/2024/08/27/indian-pm-modi-tells-putin-he-supports-end-to-ukraine-war-a86168,positive,"Motion of No Confidence, 2023",Modi's defense during a no-confidence motion debate.,,,,,,,
Narendra Modi,"Over 24,000 Indian-Americans Sign Up For PM Modi's Community Event","{'name': 'NDTV', 'icon': 'https://lh3.googleusercontent.com/tdxgqIuMCdYXjnxBEi-22G1al2_n0slQR4vppoxUyB3fupq2sPqxL3okZNKW_QWJrymCWx6k_g'}","08/28/2024, 04:12 AM, +0000 UTC",https://www.ndtv.com/indians-abroad/pm-modi-us-visit-over-24-000-indian-americans-sign-up-for-pm-modis-community-event-in-new-york-6433838,positive,Reply on Motion of Thanks to the President's Address,Delivered annually during parliamentary sessions.,,,,,,,
Narendra Modi,India's Prime Minister Modi steps into Ukraine-Russia peace vacuum,"{'name': 'ABC News', 'icon': 'https://lh3.googleusercontent.com/X8gOYJVMpwt5Rdxa-TEs1Av4_oZNCCtQN-1abkvvfNdvy3JvVhT1mERLPhFXBI6xsCV4K_lQpJI', 'authors': ['David Brennan']}","08/27/2024, 11:57 AM, +0000 UTC",https://abcnews.go.com/International/indias-prime-minister-modi-steps-ukraine-russia-peace/story?id=113021667,positive,"The Companies (Amendment) Act, 2020",Aimed at enhancing ease of doing business by decriminalizing various offenses under the Companies Act.,,,,,,,
Narendra Modi,India's refusal to take a side in the Ukraine war is frustrating the West. But it has its reasons.,"{'name': 'Business Insider', 'icon': 'https://lh3.googleusercontent.com/MD0yHuvt1mX8YyHUcdTCsQqMKGubFCwbWmpxzkT1xnE5wZ4aDRmb2zvkgfgG_b0mHNhaSxqO2A', 'authors': ['Tom Porter', 'Hannah Rachel Abraham']}","08/28/2024, 09:33 AM, +0000 UTC",https://www.businessinsider.com/india-refusing-take-sides-ukraine-reasons-modi-putin-zelenskyy-russia-2024-8,positive,"The Taxation Laws (Amendment) Act, 2021",Amended provisions related to income tax and other taxation laws.,,,,,,,
Narendra Modi,"In Ukraine, India's Narendra Modi urges Zelenskyy to sit down for talks with Russia","{'name': 'NBC News', 'icon': 'https://lh3.googleusercontent.com/qQgvCbPniYSaGbEdmp0fsD9Te7E2jE7TTCuy1h6h71QDEMnN-xVVrPE5xN5k5a6MF0XkOaNN-w'}","08/23/2024, 12:53 PM, +0000 UTC",https://www.nbcnews.com/news/world/ukraine-indian-pm-modi-urges-zelenskyy-sit-talks-russia-rcna167921,positive,"The Insolvency and Bankruptcy Code (Amendment) Act, 2020",Strengthened the insolvency resolution framework in India.,,,,,,,
